Object Code Number,Object Code Name,Description of Code Name
617,PAYMENTS TO COUNTERPARTIES,Expenditures associated with the support of the City's financing program. This includes all payments to counterparties of interest rate exchange agreements.
618,Financing Costs - Contractual,"Charge to this account expenditures associated with the support of the City's financing program. This includes all payments to financial advisors, board and disclosure counsel, fees paid to credit-rating agencies, and all other  costs."
619,Security Services - Contractual,Charge to this account all payments associated with the employment of non-city employed security guards and correction officers.
620,WASTE DISPOSAL,Payments made to handle the private exporting of municipal waste on behalf of the City of New York Department of Sanitation.
622,Temporary Services - Contractual,"Charge to this account all payments, fees, and commissions associated with outside services for receptionist, secretarial, stenographic, typing, clerical, keypunch, messengers (including Wildcat Service Corp.), court reporting and transcribing, handy persons, etc., and any other services of a temporary nature (excluding professional services)."
624,Cleaning Services - Contractual,"Charge to this account the cost of cleaning services provided by outside contractors for rubbish removal, janitorial services, waxing and washing floors, window cleaning, cleaning of curtains, rugs, drapes, disinfecting and exterminating."
626,Investment Costs - Contractual,"Charge to this account all expenditures associated with the support of the City's investment program. This includes all payments, fees and commissions to investment advisors, managers and custodians, and consultants for the various retirement system pension funds."
629,In-Rem Maintenance Costs  Contractual,"Charge to this account the cost of contracts entered into with handypersons, building superintendents, and other workers to perform maintenance work for In-Rem property management programs."
633,Transportation Services - Contractual,"Charge to this account all authorized expenditures for the transportation of pupils, the elderly, the disabled, inmates, and any car service contracts. Includes moving expenses, and the unpacking, trucking, assembling, and dismantling of voting machines."
640,Social Services - General - Contractual,Charge to this account all social service payments to providers not otherwise classified under a specific social services object code.
641,Protective Services for Adults - Contractual,"Charge to this account payments to providers for services related to the care and maintenance of adults who are at risk of neglect, abuse or exploitation and are unable to protect themselves due to either mental or physical disability."
642,Children's Charitable Institutions - Contractual,"Charge to this account payments to providers for per diem maintenance and miscellaneous payments for children in a variety of foster care placements. These placements are purchased on a contractual basis by the Child Welfare Administration from voluntary child care agencies. Also included in this code is an allocation for adoption fees and costs incidental to adoption procedures, such as legal fees."
643,Child Welfare Services - Contractual,"Charges to this account include contracts with voluntary child care agencies providing services to families with children deemed at risk of foster care placement. Services include family counseling, intensive case management, and drug treatment. Other services chargeable to this code include training of child social workers, and adoption counseling. This code also includes payments to providers for the care and maintenance of 1) non-foster care handicapped children in need of special education and treatment facilities, and 2) disabled or handicapped foster children whose problems preclude placement with the voluntary agencies."
647,Home Care Services - Contractual,"Charge to this account payments to providers for personal home care services to elderly and disabled individuals. Also charge the costs of insurance, auditing and other costs associated with companies that deliver these services."
648,Homemaking Services - Contractual,"Charge to this account payments to providers for personal homemaking services primarily to families, that may include aged, blind and disabled adults in order to strengthen and safeguard their functioning in their own homes. Services also include the teaching of independent living skills so clients may eventually function without the benefit of this service and the care of ctiildren in their own homes due to illness, incapacity or absence of parents or guardians."
649,Non-Grant Charges - Contractual,"Charge to this account payments to providers made for services that are subsidiary to the Public Assistance program, but separate from the base grant. These services include eviction prevention programs, residential drug and alcohol treatment programs, funds for burial assistance and medical examinations for public assistance applicants and recipients to determine eligibility or  disability."
650,Homeless Family Services - Contractual,"Charge to this account payments to providers for all expenditures incurred while providing resources such as food, security, medical services and other miscellaneous support items to homeless families residing in emergency or transitional settings."
651,AIDS Services - Contractual,"Charge to this account payments to providers for housing, counseling, testing, education, social services and other miscellaneous items relevant to serving persons with AIDS and HIV illness."
652,Day Care of Children - Contractual,"Charge to this account payments to providers for day care services for children where the parents or guardians are unavailable or unable to care for the child during the day or a portion of the day, as well as payments made for rent and utility costs at directly based sites, centrally purchased insurance costs, program related audits and infrastructure upkeep of day care centers."
653,Head St.art - Contractual ,"Charge to this account payments to providers relating to the Head Start Program, which provide comprehensive health.nutritional, educational, social and other services to eligible preschool children. In addition to the direct provision of day care services, this code may accommodate centrally purchased insurance costs, pension costs, program related audits and infrastructure upkeep of day care centers."
655,Mental Hygiene Services - Contractual,"Charge to this account all payments to providers made to fulfill voluntary contractual services for outpatient and inpatient clinics, as well as psychiatric evaluation diagnosis and treatment services."
657,Hospitals Contracts - Contractual,Charge to this account all expenditures incurred while fulfilling contractual obligations with Montefiore and St. Vincent's hospitals to provide health care for prisoners. 
658,Veterinary Services - Contractual,"Charge to this account all expenditures incurred while fulfilling contractual obligations for the care, support and treatment provided by the Center for Animal Control."
659,Homeless Individual Services - Contractual,"Charge to this account all payments to providers made for services to homeless individuals including emergency housing, outreach,food, counseling, medical services and other support services."
660,Economic Development - Contractual,Charge to this account all p.ayments made for economic development related services.
662,Employment Services - Contractual,"Charge to this account payments to providers for assisting Public Assistance recipients in finding employment and reducing their welfare dependency through job placement, job training, work experience programs, provision of children's day care and other  related services."
665,Legal Aid Society - Contractual,"Charge to this account all payments incurred by or in association with the Legal Aid Society. Such payments shall include but not be limited to the maintenance of the Legal Aid Society, Emergency Felony Case Processing Programming, and the Special Narcotics Case Program."
667,Payments to Cultural  Institutions - Contractual,Charge to this account payments made by Cultural Institutions to various cultural contractors.
668,Bus  Transportation  for  Reimbursable  Programs - Contractual,"Charge to this account all payments for bus transportation provided for Federal, State or other funded programs."
669,Transportation of Pupils - Contractual,Charge to this account payments made by the Board of Education to the New York City Transit Authority or to private bus lines under contract for the transportation of pupils to and from public and non-public schools.
670,Payments to Contract Schools and Corporate Schools for Handi capped Children - Contractual,Charge to this account all payments to contract schools for services to handicapped children where the Board of Education does not have adequate facilities.
671,Training Program for City Employees - Contractual,Charge to this account all expenditures in connection with the training of City employees in the performance of their duties by other than City employees.
672,CHARTER SCHOOLS,Payments made to charter schools under contract with the Department of Education.
676,Maintenance and Operation of Infrastructure - Contractual,"Include all expenditures for maintenance, operation, repairs, replacements and alterations to all property, including but not limited to parks and recreational facilities, buildings, outdoor lighting and traffic signal equipment."
678,Payments to Delegate Agencies - Contractual,"Charge to this account payments under the Federal Government's Economic Opportunity Program for programs such  as Head Start, Medicare, etc."
681,"Professional  Services  -  Accounting,  Auditing and Actuarial Services - Contractual","Charge to this account all payments for professional accounting, auditing or actuarial services performed by other than City employees."
682,Professional Services - Legal Services - Contractual,Charge to this account all payments for professional legal services performed by other than City employees {except Legal Aid).
683,Professional  Services  -  Engineering  and Architectural Services - Contractual,Charge to this account all payments for. professional engineering or architectural services performed by other than City employees.
684,Professional Services - Computer Services - Contractual,Charge to this account all payments for professional computer related  services performed by other than City employees.
685,Professional  Services  -  Direct  Educational  Services to Students,Charge to this account all payments for professional educational related services performed by other than City employees.
686,Professional Services - Other - Contractual,"Charge to this account all payments for all other professional services such as management analysis, special studies and other advisory services, etc., performed by other than City employees that are not otherwise classified under a specific professional service code."
688,Bank Charges - Public Assistance Accounts - Contractual,"Charge to this account the cost of contracts entered into with banks for check writing fees, stop payment fees, reimbursement to vendor fees, and any other fees associated with the cost of maintaining accounts."
689,Professional  Services-  Curriculum  and Professional Development,Charge to this account payments to providers for indirect services and services to staff such as professional and cur_riculum development.
695,Educational  and  Recreational  Expenditures  for Youth  Programs  - ContractuI,Charge to this account payments to providers for educational and recreational activities for youth programs.
700,Fixed Charges - General,Charge to this account all charges not otherwise classified under a specific fixed charges object code.
701,Taxes and Licenses,"Charge to this account all payments made for real estate taxes and assessments, water taxes, automobile registration fees, and other miscellaneous licenses and fees pertinent to City business."
702,Payments to Staten Island Rapid Transit Operating Authority,Charge to this account all operating assistance payments made in connection with the operation of the Staten Island Rapid Transit System.
703,Advance To State of New York For CUNY Senior College Expenditures,Charge to this account reimbursable payments made by the City for the funding of State education at the Senior College level. These payments encompass all spending and facets deemed as necessary college expenditures.
704,Payments for Surety Bonds and Insurance Premiums,"Charge to this account premium payments for surety bonds and other insurance policies,"
706,Prompt Payments Interest,This account cannot be charged directly. Late vendor payments for certain payment voucher types and specified objects automatically generate interest payments which are coded to this account.
707,Crime Prevention Injury Award,"Charge to this account awards made to persons other than peace officers for the death of or injury to, which was caused while such person was engaged on streets or on a City-owned and publicly-operated transit facility in attempting to prevent the commission of a crime against the person or property of another, preserve the peace or prevent public disturbances."
708,Awards to Widows  or Other Dependents of the New York City Uniformed Forces Killedin the Performance of Duty,"Charge to this account awards made to widows or dependents of police officers, firefighters, etc. killed in the performance of duty."
709,Awards to Beneficjarjes  of City  Employees Other Than Uniformed Forces Killed in the Performance of Duty,Charge to this account awards made to beneficiaries of City employees other than uniformed forces killed in the performance of duties.
713,MCT MOBILITY TAX,Metropolitan commuter transportation mobility tax
714,Payments to Health and Hospitals Corporation,"Charge to this account lump sum payments to Health and Hospitals Corporation (HHC) for hospital care services, and various expenditures applicable to HHC operations including Job Training Partnership Act expenditures, employee fringe benefits, debt service and water charges."
715,Payments to Cultural Institutions,Charge to this account payments made by the City to subsidize various cultural institutions.
716,Payments to Libraries,Charge to this account payments made by the City to subsidize the libraries.
718,Payments for Special Schooling - Handicapped Children,Charge to this account payments made to other school districts and institutions for the special schooling of handicapped children.
719,Judgments and Claims,"Charge to this account all payments made to claimants, other than City employees, as settlement of claims before suit, or for judgments rendered on account of personal injuries, property damage or those arising out of legal disputes with the City, and no fault automobile accidents caused by the City or its employees while engaged in performing official duties.."
720,MISCELLANEOUS AWARDS,Miscellaneous awards
724,Job Training Partnership Act - Wages,"Charge to this account all payments made to those persons who are eligible and participate in the summer youth program, as well as those who are eligible for stipends under the job training program."
725,Job Training Partnership Act - Fringes,"Charge to this account all payments for fringe benefits, i.e. worker's compensation, social security, etc., for those who are eligible and participate in the summer youth and job training programs."
730,Tuition Payments for  Out-of-City  Foster Care,Charge to this account tuition payments for New York City resident pupils under foster care in locations outside of New York City.
731,Health Service Charges for Out-of-City  Care,"Charge to this account payments for speech, psychological, welfare, and health costs for New York City pupils attending non-public schools outside of New York City."
732,Miscellaneous Awards,"Charge to this account payments made to City employees for suggestions and other awards, as well as those miscellaneous awards not otherwise classified under a specific object code."
735,Payments for Cultural Programs/Services,Charge to this account all expenditures incurred while fulfilling contractual obligations for cultural programs and services.
736,Payments for Water/Sewer Usage,Charge to this account all payments made for New York City water and sewer usage.
740,PAYMENTS TO PROPERTY OWNERS,Payments to property owners
741,PAYMENTS TO CONTRACTORS,Payments to contractors
745,IRT RELIEF/LIRR GRADE CROSSNGS,Interborough Rapid Transit Company (NYC Subway) reilef and Long Island Rail Road LIRR grade crossings
758,Federal Section 8 Rent Subsidy,"Charge to this account subsidy payments made to owners of multiple dwellings and/or individual tenants in order to reduce housing rentals, as provided in Section 8 of the Housing Assistance Program and similar programs."
760,Reduced Fares for the Elderly,Charge to this account all payments made to the Transit Authority and private bus companies in connection with the reduced fares for the elderly program.
762,Subsidy to Private  Bus  Companies,Charge to this account subsidies paid to private bus companies.
763,Payments to the Metropolitan Transportation Authority for Maintenance of Stations,Charge to this account all payments made to the Metropolitan Transportation Authority for maintenance of stations.
767,TA Operating Assistance - 18b,Charge to this account all payments made to the Transit Authority to fulfill obligations and terms of the Operating Assistance Match as required by State Finance Section 18b.
770,Payments to New York City Housing Authority,Charge to this account subsidy payments made to the New York City Housing Authority for operational needs in the housing projects.
771,Payments to Military and Other Units,Charge to this account all payments made for the purchase of flags and other veteran related items and activities.
772,New  York  City  Transit  Authority  -  Reduced  Fares for Schoolchildren,Charge to this account payments made to the New York City Transit Authority for transportation of pupils to and from public and non-public schools in carriers operated by the Transit Authority. Payment in this code represents the difference between the total cost of transportation and the amount the pupil pays toward the total cost.
773,Private   Bus   Companies   -  Reduced   Fares for Schoolchjldren,Charge to this account payments made to private bus lines for transportation of pupils to and from public and non-public schools in carriers operated by private transportation companies. Payment in this code represents the difference between the total cost of transportation and the amount the pupil pays toward the total cost.
776,Payments to Metropoljtan Transportation Authority,Charge to this account payments made to the Metropolitan Transportation Authority to fulfill terms of the Commuter Railroad Operating Assistance Match.
778,PAYMNTS PRIVATE BUS COMPANIES,Payments to private bus companies
780,Campaign Finances,Charge to this account all payments made to those persons enrolled inthe campaign finance program and who are running for City-wide public office.
782,Unallocated Contingency Reserve,Funds are appropriated to this account as a reserve for unanticipated revenue shortfalls or expenditure overruns during the course of the fiscal year. This account cannot be charged directly.
790,TRANSFERS TO OTHER FUNDS,Transfers to other funds
791,Tuition Payments to Other School Districts,Charge to this account payments made by the Board of Education to other school systems for tuition costs of pupils who are legal residents of New York  City.
793,Payments  to Fashion Institute  of Technology,Charge to this account payments made by the Board of Education as sponsoring agent on behalf of the Fashion  Institute  of Technology.
794,Training Program for City Employees,Charge to this account all expenditures in connection with the training of City employees in the performance of their duties by City employees.
796,PMTS DEPUTY STATE COMPTROLLER,Payments to Deputy State Comptroller
797,SALES TAX  REVENUES ALLOCATED TO FCB,Sales tax revenues allocated to Financial Control Board
810,Interest on Bonds - General,"Charge to this account amounts transferred to the Debt Service Fund for the payment of interest on general obligation bonds for purposes other than those in accounts #811,#812, #813 and #814."
830,Interest on Notes - Funded Debt,Charge to this account amounts transferred to the Debt Service Fund for the payment of interest on short-term obligations issued within the 2 1/2 percent tax limitation.
850,Redemption of General Obligation Bonds - General,"Charge to this account amounts transferred to the Debt Service Fund to redeem general obligation bonds issued for purposes other than those specified in accounts #848, #849, #852 and #854."
870,Blended Component Units,Charge to this account amounts required to pay lease payments to blended component units.
999,Other Than Personal Services Holding Code,For default purposes only.
10E,AUTOMOTIVE SUPPLIES & MATERIAL,Automotice supplies and materials
10F,MOTOR VEHICLE FUEL,Motor vehicle fuel
10X,SUPPLIES + MATERIALS - GENERAL,Supplies and materials
11X,FOOD & FORAGE SUPPLIES,Food and forage supplies
40B,TELEPHONE & OTHER COMMUNICATNS,Telephone and other communications
40G,MAINT & REP OF MOTOR VEH EQUIP,Maintenance and repair of motor vehicle equipment
40X,CONTRACTUAL SERVICES-GENERAL,All expenditures that are personal services or technical not otherwise classified under a specific contractual services account.
41B,RENTALS OF MISC.EQUIP,Rental of miscellaneous equipment
41D,RENTALS - LAND BLDGS & STRUCTS,"Rental of land, buildings and structures"
42C,HEAT LIGHT & POWER,"Heat, light, and power"
42G,DATA PROCESSING SERVICES,Data processing services
46X,SPECIAL EXPENSE,Special expense
50D,DIRECT FOSTER CARE OF CHILDREN,Direct foster care of children
50I,NON-GRANT CHARGES,Non-grant charges
50X,SOCIAL SERVICES - GENERAL,Social services
51A,AIDS SERVICES,"Payments to providers providing housing, counseling, testing, education, social services and other miscellaneous items relevant to serving persons with AIDS and HIV illness."
51B,EMPLOYMENT SERVICES,"Assistance in finding employment through job placement, job training, work experience programs, provision of children's day care and other related services."
51D,AID TO DEPENDENT CHILDREN-FAMILY ASSIST.,Income support aid to families with children
51F,PAYMENTS FOR HOME RELIEF-SAFETY NET,Payments for home relief - safety net
51X,HOMELESS FAMILY SERVICES,"Payments to providers for resources such as food, security, medical services and other miscellaneous support items to homeless families residing in emergency or transitional settings."
53B,MENTAL HEALTH SERVICES HHC,Mental health services Health and Hospitals Corporation
55B,DAY CARE OF CHILDREN,"Payments to providers made for the day care services for children where the parents or guardians are unavailable or unable to care for the child during the day or a portion of the day, as well as payments made for rent and utility costs at directly based sites, centrally purchased insurance costs, program related audits and infrastructure upkeep of day care centers."
79D,TRAINING CITY EMPLOYEES,Training City employees
X41,PY ASSIGNMENT DIFFERENTIAL,"A payment above base pay, based on performing specific or unique tasks"
X42,PY LONGEVITY DIFFERENTIAL,"A payment above base pay, based on years of service"
X43,PY SHIFT DIFFERENTIAL,Extra compensation received for hours worked  are outside 8AM-5PM (or typical working hours)
X45,PY HOLIDAY PAY,Holiday pay
X46,PY TERMINAL LEAVE,Terminal leave or remainder of leave payments
X47,PY OVERTIME,Overtime pay
X56,PY EARLY RET. TERMINAL LEAVE..,Early retirement terminal leave
X57,BONUS- NONPENSIONABLE,Bonus Payments Nonpensionable
(blank),,