Base Salary,Employees
25000,3
30000,1368
35000,4528
40000,12826
45000,17021
50000,13659
55000,12426
60000,9869
65000,8507
70000,5205
75000,10716
80000,3177
85000,28594
90000,4688
95000,7081
100000,2312
105000,2217
110000,6302
115000,1591
120000,1177
125000,3270
130000,709
135000,446
140000,636
145000,450
150000,285
155000,251
160000,205
165000,614
170000,291
175000,117
180000,258
185000,56
190000,150
195000,55
200000,46
205000,30
210000,25
215000,49
220000,41
225000,14
230000,20
235000,62