age,women,men
20,6,17
21,20,63
22,105,376
23,276,767
24,526,1150
25,770,1561
26,987,1965
27,1195,2238
28,1428,2389
29,1613,2686
30,1638,2849
31,1749,2999
32,1819,3039
33,1863,3159
34,1852,3368
35,1833,3275
36,1923,3295
37,1953,3322
38,1888,3218
39,1840,3118
40,1864,3116
41,1907,3011
42,1830,2945
43,1700,2673
44,1654,2757
45,1529,2539
46,1549,2445
47,1557,2457
48,1672,2662
49,1641,2508
50,1557,2195
51,1609,2126
52,1645,2125
53,1713,2047
54,1696,2049
55,1773,1985
56,1738,1883
57,1568,1672
58,1588,1685
59,1418,1495
60,1489,1420
61,1393,1315
62,1167,1152
63,895,890
64,737,770
65,618,607
66,499,487
67,383,382
68,267,324
69,254,270
70,189,196
71,120,154
72,122,141
73,80,93
74,62,74
75,46,55
76,35,53
77,25,33
78,23,26
79,18,15
80,12,11
81,8,13
82,8,13
83,0,9
84,5,0
85,0,0
86,5,0