age,Non-Uniformed,Uniformed
18,1,0
19,5,7
20,7,27
21,26,164
22,129,599
23,249,1071
24,457,1479
25,660,1863
26,875,2190
27,1008,2403
28,1227,2743
29,1297,2898
30,1466,2969
31,1549,3158
32,1531,3206
33,1608,3398
34,1590,3363
35,1689,3417
36,1692,3451
37,1670,3255
38,1676,3270
39,1733,3127
40,1707,3157
41,1698,3094
42,1614,2855
43,1648,2640
44,1616,2534
45,1564,2342
46,1487,2354
47,1693,2385
48,1746,2384
49,1700,2236
50,1755,1836
51,1862,1806
52,1891,1628
53,1988,1688
54,2108,1491
55,2215,1331
56,2191,1200
57,2035,1064
58,2003,941
59,1970,844
60,1943,762
61,1747,688
62,1430,915
63,1204,415
64,958,305
65,834,222
66,668,157
67,483,146
68,448,87
69,373,89
70,239,59
71,192,60
72,177,24
73,123,26
74,89,25
75,65,18
76,53,13
77,38,8
78,35,7
79,24,7
80,19,2
81,16,0
82,16,3
83,7,2
84,5,0
85,4,2
86,4,0
87,3,0
88,2,0
89,0,0
90,0,0
91,0,1
92,0,1