exp,count Female,count Male,percent Female,percent Male
0,2508,3086,0.0375,0.0309
1,4484,5261,0.067,0.0527
2,5105,6950,0.0762,0.0697
3,4556,7423,0.068,0.0744
4,3547,5336,0.053,0.0535
5,2636,4210,0.0394,0.0422
6,2269,4119,0.0339,0.0413
7,2097,3645,0.0313,0.0365
8,1648,2401,0.0246,0.0241
9,1642,1506,0.0245,0.0151
10,1795,2536,0.0268,0.0254
11,2557,4488,0.0382,0.045
12,2950,4510,0.0441,0.0452
13,2702,5017,0.0404,0.0503
14,1787,3811,0.0267,0.0382
15,2538,3771,0.0379,0.0378
16,1335,2556,0.0199,0.0256
17,1720,2787,0.0257,0.0279
18,2340,3281,0.0349,0.0329
19,1788,3300,0.0267,0.0331
20,1364,1928,0.0204,0.0193
21,1203,1789,0.018,0.0179
22,864,1749,0.0129,0.0175
23,737,1034,0.011,0.0104
24,691,1083,0.0103,0.0109
25,694,1651,0.0104,0.0166
26,1054,1102,0.0157,0.011
27,497,936,0.0074,0.0094
28,707,1172,0.0106,0.0117
29,1071,1189,0.016,0.0119
30,1199,1231,0.0179,0.0123
31,942,1231,0.0141,0.0123
32,776,1013,0.0116,0.0102
33,751,760,0.0112,0.0076
34,581,701,0.0087,0.007
35,403,705,0.006,0.007
36,218,438,0.0033,0.0044
37,326,205,0.0049,0.0021
38,329,349,0.0049,0.0035
39,158,246,0.0024,0.0025
40,82,130,0.0012,0.0013
41,74,106,0.0011,0.0005
42,38,46,0.0006,0.0005
43,7,25,0.0001,0.0003
44,42,5,0.0006,0.0001
45,44,35,0.0007,0.0004
46,35,25,0.0005,0.0003
47,16,24,0.0002,0.0002
48,16,22,0.0002,0.0002
49,11,10,0.0002,0.0001
50,8,13,0.0001,0.0001
51,9,10,0.0001,0.0001