highest_educ_level,Male Median Salary,Female Median Salary,Education Rank
Post-Doctorate,75000,117797,1
Doctorate (Professional),97200,91310,2
Doctorate (Academic),88651,85857,3
Master's Level Degree,81535,74183,4
Some Graduate School,75000,58480,5
Bachelorâ€™s Level Degree,63410,57070,6
2-Year College Degree,61005,48417,7
Technical School,77318,48237,8
Some College,64397 00,47327,9
HS Graduate or Equivalent,61800,43978,10
Less Than HS Graduate,57587,42146,11
Not Indicated,85292,57912,12