Year,Precinct 25,Precinct 48,Precinct 52,Precinct 88
2006,67.50,68.46,40.20,68.07
2007,59.07,50.44,35.17,60.29
2008,37.97,63.65,28.00,50.56
2009,44.30,55.24,23.69,31.12
2010,105.47,56.45,29.43,36.95
2011,86.49,76.86,22.25,25.28
2012,61.17,73.26,16.51,29.17
2013,18.99,31.23,26.56,21.39
2014,48.52,40.83,22.25,27.23
2015,54.85,39.63,29.43,56.40
2016,46.41,46.84,10.05,13.61
2017,37.97,34.83,19.38,15.56
2018,18.99,31.23,13.64,11.67
2019,37.97,26.42,12.92,17.50
2020,80.16,22.82,13.64,25.28