Title and Code,Ratio of Median Salary Women,Ratio of Median Salary Men,median salary,Percent Women,Percent Men,Non-binary,Other gender,Unknown or Choose Not to Disclose,count
SENIOR IT ARCHITECT (95711),0,161136,161136,0,1,0,0,0,8
ADMINISTRATIVE STAFF ANALYST (10026),102285.44,57535.56,159821,0.64,0.36,0,0,0,14
EXECUTIVE AGENCY COUNSEL (95005),97272.275,47910.225,145182.5,0.67,0.33,0,0,0,12
COMPUTER SYSTEMS MANAGER (10050),29922.86,104730.01,136013,0.22,0.77,0,0,0,231
ADMINISTRATIVE BUSINESS PROMOT (10009),91556.22,36353.205,134641.5,0.68,0.27,0,0.05,0,22
IT SECURITY SPECIALIST (95622),21424,112476,133900,0.16,0.84,0,0,0,49
TELECOMMUNICATION MANAGER (82984),22221.465,108493.035,130714.5,0.17,0.83,0,0,0,12
COMPUTER OPERATIONS MANAGER (S (10074),15269.16,111973.84,127243,0.12,0.88,0,0,0,33
CERT IT ADMINISTRATOR (DB) (13644),12292.8,110635.2,122928,0.1,0.9,0,0,0,10
CERTIFIED IT ADMINISTRATOR (LA (13652),10717.47,108365.53,119083,0.09,0.91,0,0,0,125
ADMINISTRATIVE PUBLIC INFORMAT (10033),83898.57,34268.43,118167,0.71,0.29,0,0,0,7
CERT IT DEVELOPER (APP) (13643),18906.72,99260.28,118167,0.16,0.84,0,0,0,19
COMPUTER SPECIALIST (SOFTWARE) (13632),23893.38,89884.62,113778,0.21,0.79,0,0,0,141
ADM PROC ANAL-NM FRM Ml-3 (8297A),79862.22,32619.78,112482,0.71,0.29,0,0,0,7
ADMINISTRATIVE STAFF ANALYST ( (10020),60375.24,46958.52,111806,0.54,0.42,0,0,0.04,26
COMPUTER SPECIALIST (OPERATION (13622),6638.82,104008.18,110647,0.06,0.94,0,0,0,32
IT PROJECT SPECIALIST (95710),41895.36,65528.64,107424,0.39,0.61,0,0,0,28
AGENCY ATTORNEY (30087),50403,50403,100806,0.5,0.5,0,0,0,8
COMPUTER ASSOC (SOFTWARE) (13631),38950,56050,95000,0.41,0.59,0,0,0,17
ADM MANAGER-NON-MGRL FRM Ml/M2 (1002C),46173.78,39333.22,85507,0.54,0.46,0,0,0,37
ASSOCIATE STAFF ANALYST (12627),46974.27,35436.73,82411,0.57,0.43,0,0,0,7
CYBER SECURITY ANALYST (13633),17304,60976,82400,0.21,0.74,0,0,0.05,19
COMPUTER ASSOC (OPERATIONS) (13621),16640.4,62599.6,79240,0.21,0.79,0,0,0,91
ADMINISTRATIVE STAFF ANALYST (1002A),26046.075,52881.425,78927.5,0.33,0.67,0,0,0,12
TELECOMMUNICATIONS ASSOCIATE (20246),10155.535,67963.965,78119.5,0.13,0.87,0,0,0,54
SUPERVISOR OF RADIO AND TELEVI (90436),15609.4,62437.6,78047,0.2,0.8,0,0,0,5
PROCUREMENT ANALYST (12158),58090.875,19363.625,77454.5,0.75,0.25,0,0,0,8
TELECOMMUNICATIONS ASSOCIATE (20247),33820.6,43044.4,76865,0.44,0.56,0,0,0,9
PROGRAM PRODUCER (60621),24731.685,50212.815,74944.5,0.33,0.67,0,0,0,6
COMMUNITY COORDINATOR (56058),40952.8,32177.2,73130,0.56,0.44,0,0,0,39
PRINCIPAL ADMINISTRATIVE ASSOC (10124),51913.96,18240.04,70154,0.74,0.26,0,0,0,19
COMPUTER PROGRAMMER ANALYST (13651),11684.61,57048.39,68733,0.17,0.83,0,0,0,6
BUSINESS PROMOTION COORDINATOR (60860),37254.9,24836.6,62091.5,0.6,0.4,0,0,0,10
COMPUTER ASSOC (TECH SUPP) (13611),20591.9,38242.1,58834,0.35,0.65,0,0,0,23
STAFF ANALYST (12626),35705.8,21884.2,57590,0.62,0.38,0,0,0,13
RADIO AND TELEVISION OPERATOR (90411),5537.3,49835.7,55373,0.1,0.9,0,0,0,20
ASSOCIATE CALL CENTER REPRESEN (10271),38219.3,15833.71,54599,0.7,0.29,0,0,0.02,63
CLERICAL ASSOCIATE (10251),39261.915,11727.585,50989.5,0.77,0.23,0,0,0,22
COMMUNITY ASSOCIATE (56057),30000,20000,50000,0.6,0.4,0,0,0,35
COMPUTER AIDE (13620),16970.04,30168.96,47139,0.36,0.64,0,0,0,11
CALL CENTER REPRESENTATIVE (10260),27976.32,10491.12,38856,0.72,0.27,0,0,0.01,261