Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Renovate the Basketball Court at Chelsea Park,District 03  Corey Johnson,Youth,Renovate the Basketball Court at Chelsea Park,,350000,b,,,,350000
Renovation at Gertrude Kelly Playground,District 03  Corey Johnson,Youth,Renovation at Gertrude Kelly Playground,,350000,b,,,,350000
More Turnstiles at C/E 50th Street Station,District 03  Corey Johnson,Transit,More Turnstiles at C/E 50th Street Station,,135000,b,,,,135000
Real Time Rider Information at Bus Stops,District 03  Corey Johnson,Transit,Real Time Rider Information at Bus Stops,,100000,b,,,,100000
Grounds Renovation at Elliott-Chelsea Houses,District 03  Corey Johnson,Parks & Recreation,Grounds Renovation at Elliott-Chelsea Houses,,500000,b,,,,500000
New Fitness Equipment for Chelsea Park,District 03  Corey Johnson,Parks & Recreation,New Fitness Equipment for Chelsea Park,,180000,b,,,,180000
Renovation of Historic Field House,District 03  Corey Johnson,Parks & Recreation,Renovation of Historic Field House,,250000,b,,,,250000
Repair/Reopen Staircase at DeWitt Clinton Park,District 03  Corey Johnson,Parks & Recreation,Repair/Reopen Staircase at DeWitt Clinton Park,,500000,b,,,,500000
New Trees for Council District 3,District 03  Corey Johnson,Environment,New Trees for Council District 3,,100000,b,,,,100000
A Green Roof for 75 Morton School,District 03  Corey Johnson,Education,A Green Roof for 75 Morton School,,200000,b,,,,200000
A New Library for City Knoll School,District 03  Corey Johnson,Education,A New Library for City Knoll School,,300000,b,,,,300000
"Bathroom Upgrade - Lab MS, Lab HS & Museum High",District 03  Corey Johnson,Education,"Bathroom Upgrade - Lab MS, Lab HS & Museum High",,560000,b,,,,560000
"Gym Renovation - Lab M.S, Lab H.S.& Museum High",District 03  Corey Johnson,Education,"Gym Renovation - Lab M.S, Lab H.S.& Museum High",,300000,b,,,,300000
New Audio / Visual System for P.S 11,District 03  Corey Johnson,Education,New Audio / Visual System for P.S 11,,75000,b,,,,75000
Cool Muhlenberg Library. Renovate HVAC System,District 03  Corey Johnson,"Arts, Culture & Community Facilities",Cool Muhlenberg Library. Renovate HVAC System,,500000,b,,,,500000
Lexington Houses East & West Playground Renovation,District 05  Ben Kallos,Youth,Lexington Houses East & West Playground Renovation,,700000,b,,,,700000
Center @ Lenox Hill Neighborhood House Entrance,District 05  Ben Kallos,Seniors,Center @ Lenox Hill Neighborhood House Entrance,,500000,b,,,,500000
Parks Greening,District 05  Ben Kallos,Parks & Recreation,Parks Greening,,1000000,b,,,,1000000
Lexington Houses Security Upgrade,District 05  Ben Kallos,Housing,Lexington Houses Security Upgrade,,500000,b,,,,500000
Computer Carts for 10 Schools,District 05  Ben Kallos,Education,Computer Carts for 10 Schools,,350000,b,,,,350000
HVAC for P.S.198 and P.S.77,District 05  Ben Kallos,Education,HVAC for P.S.198 and P.S.77,,350000,b,,,,350000
Library Modernization for Eleanor Roosevelt H.S.,District 05  Ben Kallos,Education,Library Modernization for Eleanor Roosevelt H.S.,,350000,b,,,,350000
P.S. 290 Bathrooms,District 05  Ben Kallos,Education,P.S. 290 Bathrooms,,225000,b,,,,225000
Renovate Auditorium for Eleanor Roosevelt H.S.,District 05  Ben Kallos,Education,Renovate Auditorium for Eleanor Roosevelt H.S.,,250000,b,,,,250000
Rooftop Greenhouse at P.S. 290,District 05  Ben Kallos,Education,Rooftop Greenhouse at P.S. 290,,500000,b,,,,500000
Sound System at Julia Richman JREC Auditorium,District 05  Ben Kallos,Education,Sound System at Julia Richman JREC Auditorium,,85000,b,,,,85000
STEM Green Roof for P.S./I.S. 217,District 05  Ben Kallos,Education,STEM Green Roof for P.S./I.S. 217,,500000,b,,,,500000
67th Street Library HVAC Improvements,District 05  Ben Kallos,"Arts, Culture & Community Facilities",67th Street Library HVAC Improvements,,600000,b,,,,600000
Webster Library HVAC Improvements,District 05  Ben Kallos,"Arts, Culture & Community Facilities",Webster Library HVAC Improvements,,600000,b,,,,600000
UWS CERT Emergency Response and Education Vehicle,District 06  Helen Rosenthal,Public Safety,UWS CERT Emergency Response and Education Vehicle,,40000,b,,,,40000
Adult Fitness Equipment for Riverside Park,District 06  Helen Rosenthal,Parks & Recreation,Adult Fitness Equipment for Riverside Park,,330000,b,,,,330000
Picnic Tables for Riverside Park,District 06  Helen Rosenthal,Parks & Recreation,Picnic Tables for Riverside Park,,65000,b,,,,65000
Restoration of Joan of Arc Plaza,District 06  Helen Rosenthal,Parks & Recreation,Restoration of Joan of Arc Plaza,,300000,b,,,,300000
Restoration of Riverside Park Basketball Courts,District 06  Helen Rosenthal,Parks & Recreation,Restoration of Riverside Park Basketball Courts,,200000,b,,,,200000
Riverside Park Recreation and Activity Area,District 06  Helen Rosenthal,Parks & Recreation,Riverside Park Recreation and Activity Area,,250000,b,,,,250000
Playground Renovation at Wise Towers,District 06  Helen Rosenthal,Housing,Playground Renovation at Wise Towers,,350000,b,,,,350000
Security Cameras for Amsterdam Addition,District 06  Helen Rosenthal,Housing,Security Cameras for Amsterdam Addition,,300000,b,,,,300000
Air Conditioning at the Performing Arts Library,District 06  Helen Rosenthal,Education,Air Conditioning at the Performing Arts Library,,350000,b,,,,350000
Auditorium Renovations and Upgrades at ?P.S. 166,District 06  Helen Rosenthal,Education,Auditorium Renovations and Upgrades at ?P.S. 166,,210000,b,,,,210000
Courtyard Renovation at Brandeis Campus,District 06  Helen Rosenthal,Education,Courtyard Renovation at Brandeis Campus,,300000,b,,,,300000
Creation of Library Space at P.S. 191,District 06  Helen Rosenthal,Education,Creation of Library Space at P.S. 191,,350000,b,,,,350000
Technology Upgrades at LaGuardia High School,District 06  Helen Rosenthal,Education,Technology Upgrades at LaGuardia High School,,150000,b,,,,150000
Video Surveillance for P.S. 75 and M.S. 250,District 06  Helen Rosenthal,Education,Video Surveillance for P.S. 75 and M.S. 250,,225000,b,,,,225000
Grounds Renovation,District 07  Mark Levine,Streets,Grounds Renovation,,325000,b,,,,325000
Riverstone Senior Center Upgrade & Renovation,District 07  Mark Levine,Seniors,Riverstone Senior Center Upgrade & Renovation,,210000,b,,,,210000
Artificial Turf Installation,District 07  Mark Levine,Parks & Recreation,Artificial Turf Installation,,500000,b,,,,500000
Cherry Walk Safety Improvements,District 07  Mark Levine,Parks & Recreation,Cherry Walk Safety Improvements,,150000,b,,,,150000
Green Up District 7,District 07  Mark Levine,Parks & Recreation,Green Up District 7,,300000,b,,,,300000
Audubon Houses Playground Renovation,District 07  Mark Levine,Housing,Audubon Houses Playground Renovation,,500000,b,,,,500000
Augment Exterior Security Cameras,District 07  Mark Levine,Housing,Augment Exterior Security Cameras,,500000,b,,,,500000
Basketball Court Renovations,District 07  Mark Levine,Housing,Basketball Court Renovations,,500000,b,,,,500000
Lighting Upgrades for Recreational Areas,District 07  Mark Levine,Housing,Lighting Upgrades for Recreational Areas,,500000,b,,,,500000
Playground Renovation,District 07  Mark Levine,Housing,Playground Renovation,,500000,b,,,,500000
Auditorium Audio Upgrade,District 07  Mark Levine,Education,Auditorium Audio Upgrade,,125000,b,,,,125000
Electrical Upgrade to CSS,District 07  Mark Levine,Education,Electrical Upgrade to CSS,,200000,b,,,,200000
Improve Technology,District 07  Mark Levine,Education,Improve Technology,,35000,b,,,,35000
Indoor Hydroponic Farm,District 07  Mark Levine,Education,Indoor Hydroponic Farm,,250000,b,,,,250000
P.S. 28 Wright Brothers Greenhouse Project,District 07  Mark Levine,Education,P.S. 28 Wright Brothers Greenhouse Project,,250000,b,,,,250000
Playground Upgrades,District 07  Mark Levine,Education,Playground Upgrades,,400000,b,,,,400000
Science Lab Upgrades,District 07  Mark Levine,Education,Science Lab Upgrades,,75000,b,,,,75000
Smart Boards,District 07  Mark Levine,Education,Smart Boards,,75000,b,,,,75000
Technology Lab Upgrades,District 07  Mark Levine,Education,Technology Lab Upgrades,,35000,b,,,,35000
Save Hamilton Grange! Elevator Repair,District 07  Mark Levine,"Arts, Culture & Community Facilities",Save Hamilton Grange! Elevator Repair,,400000,b,,,,400000
Bathroom Renovations: MS/HS 223,District 08  Melissa Mark-Viverito,Youth,Bathroom Renovations: MS/HS 223,,250000,b,,,,250000
Mobile Robotics Lab at South Bronx Prep,District 08  Melissa Mark-Viverito,Youth,Mobile Robotics Lab at South Bronx Prep,,186000,b,,,,186000
Technology Upgrade to FLAGS High School,District 08  Melissa Mark-Viverito,Youth,Technology Upgrade to FLAGS High School,,100000,b,,,,100000
"Technology upgrades for PE, CPE, and Heritage HS",District 08  Melissa Mark-Viverito,Youth,"Technology upgrades for PE, CPE, and Heritage HS",,376200,b,,,,376200
Grounds Enhancement: Focus on Age Friendly Benches,District 08  Melissa Mark-Viverito,Seniors,Grounds Enhancement: Focus on Age Friendly Benches,,300000,b,,,,300000
Grounds Renovation at Metro North,District 08  Melissa Mark-Viverito,Seniors,Grounds Renovation at Metro North,,300000,b,,,,300000
Grounds Renovation: Sitting Area for Seniors,District 08  Melissa Mark-Viverito,Seniors,Grounds Renovation: Sitting Area for Seniors,,400000,b,,,,400000
Grounds Renovation: Upgrades to Gaylord White,District 08  Melissa Mark-Viverito,Seniors,Grounds Renovation: Upgrades to Gaylord White,,400000,b,,,,400000
Bright lights and fancy seating for Poor Richards,District 08  Melissa Mark-Viverito,Parks & Recreation,Bright lights and fancy seating for Poor Richards,,300000,b,,,,300000
Irrigation & Tom's Dog Run Upgrades,District 08  Melissa Mark-Viverito,Parks & Recreation,Irrigation & Tom's Dog Run Upgrades,,400000,b,,,,400000
Nelson Playground Repairs,District 08  Melissa Mark-Viverito,Parks & Recreation,Nelson Playground Repairs,,500000,b,,,,500000
Exterior Lighting at Millbrook Houses,District 08  Melissa Mark-Viverito,Housing,Exterior Lighting at Millbrook Houses,,400000,b,,,,400000
Exterior Lighting at Mott Haven Houses,District 08  Melissa Mark-Viverito,Housing,Exterior Lighting at Mott Haven Houses,,400000,b,,,,400000
Playground Renovations at Wagner Houses,District 08  Melissa Mark-Viverito,Housing,Playground Renovations at Wagner Houses,,500000,b,,,,500000
Playground Renovations at Wilson Houses,District 08  Melissa Mark-Viverito,Housing,Playground Renovations at Wilson Houses,,500000,b,,,,500000
Renovation to Playground at Washington Houses,District 08  Melissa Mark-Viverito,Housing,Renovation to Playground at Washington Houses,,500000,b,,,,500000
Air Conditioning at P.S. 108,District 08  Melissa Mark-Viverito,Education,Air Conditioning at P.S. 108,,250000,b,,,,250000
"Air Conditioning for P.S. 369X, P.S. 179X and 352X",District 08  Melissa Mark-Viverito,Education,"Air Conditioning for P.S. 369X, P.S. 179X and 352X",,450000,b,,,,450000
Air Conditioning for P.S. 65X,District 08  Melissa Mark-Viverito,Education,Air Conditioning for P.S. 65X,,250000,b,,,,250000
Air Conditioning for PS 49X,District 08  Melissa Mark-Viverito,Education,Air Conditioning for PS 49X,,250000,b,,,,250000
Electrical Upgrade for Schools,District 08  Melissa Mark-Viverito,Education,Electrical Upgrade for Schools,,75000,b,,,,75000
"Water Fountain Upgrades: CPE II, P.S.171 & P.S.108",District 08  Melissa Mark-Viverito,Education,"Water Fountain Upgrades: CPE II, P.S.171 & P.S.108",,75000,b,,,,75000
Bus Countdown Clocks,District 11  Andy Cohen,Transit,Bus Countdown Clocks,,100000,b,,,,100000
District 11 Security Cameras,District 11  Andy Cohen,Streets,District 11 Security Cameras,,300000,b,,,,300000
Adult Fitness Equipment at Classic Playground,District 11  Andy Cohen,Parks & Recreation,Adult Fitness Equipment at Classic Playground,,400000,b,,,,400000
Hackett Park Dog Run Improvements,District 11  Andy Cohen,Parks & Recreation,Hackett Park Dog Run Improvements,,500000,b,,,,500000
Seton Park Mini Skate Park,District 11  Andy Cohen,Parks & Recreation,Seton Park Mini Skate Park,,450000,b,,,,450000
Wakefield Playground/Basketball Court Renovations,District 11  Andy Cohen,Parks & Recreation,Wakefield Playground/Basketball Court Renovations,,300000,b,,,,300000
Woodlawn Playground Spray Shower Renovations,District 11  Andy Cohen,Parks & Recreation,Woodlawn Playground Spray Shower Renovations,,300000,b,,,,300000
District 11 Schools Technology Upgrade,District 11  Andy Cohen,Education,District 11 Schools Technology Upgrade,,300000,b,,,,300000
In-tech Academy Gym Lockers,District 11  Andy Cohen,Education,In-tech Academy Gym Lockers,,400000,b,,,,400000
P.S. 280/M.S. 80 Auditorium Renovations,District 11  Andy Cohen,Education,P.S. 280/M.S. 80 Auditorium Renovations,,275000,b,,,,275000
Mosholu Library HVAC & Roof,District 11  Andy Cohen,"Arts, Cultures & Community Facilities ",Mosholu Library HVAC & Roof,,400000,b,,,,400000
Spuyten Duyvil Library HVAC System,District 11  Andy Cohen,"Arts, Cultures & Community Facilities ",Spuyten Duyvil Library HVAC System,,400000,b,,,,400000
Bus Countdown Clocks,District 15  Ritchie Torres,Transit,Bus Countdown Clocks,,40000,b,,,,40000
NYPD Security Cameras,District 15  Ritchie Torres,Streets,NYPD Security Cameras,,350000,b,,,,350000
Bronx Park East Physical Exercise Equipment,District 15  Ritchie Torres,Parks & Recreation,Bronx Park East Physical Exercise Equipment,,400000,b,,,,400000
Zimmerman Playground Basketball Court,District 15  Ritchie Torres,Parks & Recreation,Zimmerman Playground Basketball Court,,500000,b,,,,500000
Murphy Houses Grounds Renovation,District 15  Ritchie Torres,Housing,Murphy Houses Grounds Renovation,,300000,b,,,,300000
Jonas Brock Academy Science Cart,District 15  Ritchie Torres,Education,Jonas Brock Academy Science Cart,,62000,b,,,,62000
Jungle Gym at P.S.54,District 15  Ritchie Torres,Education,Jungle Gym at P.S.54,,150000,b,,,,150000
Mobile Laptop Carts and Smart Boards,District 15  Ritchie Torres,Education,Mobile Laptop Carts and Smart Boards,,305000,b,,,,305000
P.S. 23 Playground Renovation,District 15  Ritchie Torres,Education,P.S. 23 Playground Renovation,,400000,b,,,,400000
TAPCO Lockers,District 15  Ritchie Torres,Education,TAPCO Lockers,,200000,b,,,,200000
Real Time Passenger Countdown Clocks,District 19  Paul Vallone,Transit,Real Time Passenger Countdown Clocks,,160000,b,,,,160000
NYPD Security Cameras,District 19  Paul Vallone,Streets,NYPD Security Cameras,,105000,b,,,,105000
Adult Fitness Center at Little Bay Park,District 19  Paul Vallone,Parks & Recreation,Adult Fitness Center at Little Bay Park,,250000,b,,,,250000
Adult Fitness Center at MacNeil Park,District 19  Paul Vallone,Parks & Recreation,Adult Fitness Center at MacNeil Park,,250000,b,,,,250000
Basketball Court and Sidewalk Renovation,District 19  Paul Vallone,Parks & Recreation,Basketball Court and Sidewalk Renovation,,500000,b,,,,500000
Basketball Court Renovation at MacNeil Park,District 19  Paul Vallone,Parks & Recreation,Basketball Court Renovation at MacNeil Park,,650000,b,,,,650000
Basketball Court Renovation at Marie Curie Park,District 19  Paul Vallone,Parks & Recreation,Basketball Court Renovation at Marie Curie Park,,350000,b,,,,350000
Pedestrian Safety Sidewalk and Guardrail,District 19  Paul Vallone,Parks & Recreation,Pedestrian Safety Sidewalk and Guardrail,,550000,b,,,,550000
Adrien Block Campus Cafeteria Upgrade,District 19  Paul Vallone,Education,Adrien Block Campus Cafeteria Upgrade,,400000,b,,,,400000
Bayside High School Music Educational Complex,District 19  Paul Vallone,Education,Bayside High School Music Educational Complex,,450000,b,,,,450000
J.H.S. 194 Auditorium Upgrade,District 19  Paul Vallone,Education,J.H.S. 194 Auditorium Upgrade,,550000,b,,,,550000
P.S. 159 Technology Upgrade,District 19  Paul Vallone,Education,P.S. 159 Technology Upgrade,,105000,b,,,,105000
P.S. 193 Auditorium Upgrade,District 19  Paul Vallone,Education,P.S. 193 Auditorium Upgrade,,500000,b,,,,500000
P.S. 21 Playground Renovation,District 19  Paul Vallone,Education,P.S. 21 Playground Renovation,,400000,b,,,,400000
P.S. 79 Gymnasium Upgrade,District 19  Paul Vallone,Education,P.S. 79 Gymnasium Upgrade,,200000,b,,,,200000
P.S. 98 Technology Upgrade,District 19  Paul Vallone,Education,P.S. 98 Technology Upgrade,,70000,b,,,,70000
Wall Shelf at Douglaston/Little Neck Library,District 19  Paul Vallone,"Arts, Culture & Community Facilities",Wall Shelf at Douglaston/Little Neck Library,,50000,b,,,,50000
Bathroom Improvements at East Elmhurst Playground,District 21  Julissa Ferreras-Copeland,Parks & Recreation,Bathroom Improvements at East Elmhurst Playground,,500000,b,,,,500000
Bathroom Upgrade at Josephine Caminiti Playground,District 21  Julissa Ferreras-Copeland,Parks & Recreation,Bathroom Upgrade at Josephine Caminiti Playground,,500000,b,,,,500000
Brand New Pathways at Park of the Americas,District 21  Julissa Ferreras-Copeland,Parks & Recreation,Brand New Pathways at Park of the Americas,,300000,b,,,,300000
Improved Lighting at East Elmhurst Playground,District 21  Julissa Ferreras-Copeland,Parks & Recreation,Improved Lighting at East Elmhurst Playground,,200000,b,,,,200000
Newly Paved Walkways Josephine Caminiti Playground,District 21  Julissa Ferreras-Copeland,Parks & Recreation,Newly Paved Walkways Josephine Caminiti Playground,,300000,b,,,,300000
Park of the Americas Bathroom Improvements,District 21  Julissa Ferreras-Copeland,Parks & Recreation,Park of the Americas Bathroom Improvements,,500000,b,,,,500000
New Laptops for P.S. 16Q Students,District 21  Julissa Ferreras-Copeland,Education,New Laptops for P.S. 16Q Students,,80000,b,,,,80000
New Smartboards for P.S. 14Q,District 21  Julissa Ferreras-Copeland,Education,New Smartboards for P.S. 14Q,,80000,b,,,,80000
New Computers & Tablets at the LeFrak City Library,District 21  Julissa Ferreras-Copeland,"Arts, Culture & Community Facilities",New Computers & Tablets at the LeFrak City Library,,35000,b,,,,35000
Technology Upgrade at the Corona Library,District 21  Julissa Ferreras-Copeland,"Arts, Culture & Community Facilities",Technology Upgrade at the Corona Library,,35000,b,,,,35000
Real Time Bus Countdown Clocks,District 22  Costa Constantinides,Transit,Real Time Bus Countdown Clocks,,480000,b,,,,480000
Fitness Upgrade at Bulova Park,District 22  Costa Constantinides,Parks & Recreation,Fitness Upgrade at Bulova Park,,250000,b,,,,250000
Fitness Upgrade at Whitey Ford Field,District 22  Costa Constantinides,Parks & Recreation,Fitness Upgrade at Whitey Ford Field,,300000,b,,,,300000
Handball Courts at Bulova Park,District 22  Costa Constantinides,Parks & Recreation,Handball Courts at Bulova Park,,150000,b,,,,150000
Improvements at Astoria Park Senior Pool,District 22  Costa Constantinides,Parks & Recreation,Improvements at Astoria Park Senior Pool,,300000,b,,,,300000
Picnic/Gaming Tables Installation in Astoria Park,District 22  Costa Constantinides,Parks & Recreation,Picnic/Gaming Tables Installation in Astoria Park,,250000,b,,,,250000
Water Fountain Project in Astoria Park,District 22  Costa Constantinides,Parks & Recreation,Water Fountain Project in Astoria Park,,500000,b,,,,500000
Upgrade Lights at Astoria Houses Basketball Court,District 22  Costa Constantinides,Housing,Upgrade Lights at Astoria Houses Basketball Court,,500000,b,,,,500000
Auditorium Upgrade at Long Island City H.S.,District 22  Costa Constantinides,Education,Auditorium Upgrade at Long Island City H.S.,,490000,b,,,,490000
Bathroom Upgrade at P.S. 122,District 22  Costa Constantinides,Education,Bathroom Upgrade at P.S. 122,,455000,b,,,,455000
Bathroom Upgrades'at'Long Island City H.S.,District 22  Costa Constantinides,Education,Bathroom Upgrades'at'Long Island City H.S.,,400000,b,,,,400000
Cafeteria Noise Pollution Mitigation at P.S. 122,District 22  Costa Constantinides,Education,Cafeteria Noise Pollution Mitigation at P.S. 122,,250000,b,,,,250000
Junior High School Technology Upgrades,District 22  Costa Constantinides,Education,Junior High School Technology Upgrades,,175000,b,,,,175000
New Computer Lab at I.S. 141,District 22  Costa Constantinides,Education,New Computer Lab at I.S. 141,,80000,b,,,,80000
New SMART Boards at'Long Island City H.S.,District 22  Costa Constantinides,Education,New SMART Boards at'Long Island City H.S.,,150000,b,,,,150000
Playground Upgrade at P.S. 171,District 22  Costa Constantinides,Education,Playground Upgrade at P.S. 171,,400000,b,,,,400000
Playground Upgrade at P.S. 2,District 22  Costa Constantinides,Education,Playground Upgrade at P.S. 2,,400000,b,,,,400000
Basement Program Room Upgrade at Astoria Library,District 22  Costa Constantinides,"Arts, Culture & Community Facilities",Basement Program Room Upgrade at Astoria Library,,50000,b,,,,50000
Children's Room Shelves Upgrade at Astoria Library,District 22  Costa Constantinides,"Arts, Culture & Community Facilities",Children's Room Shelves Upgrade at Astoria Library,,35000,b,,,,35000
Cyber Center Upgrade at Astoria Library,District 22  Costa Constantinides,"Arts, Culture & Community Facilities",Cyber Center Upgrade at Astoria Library,,500000,b,,,,500000
Vanderbilt Motor Parkway Resurfacing,District 23  Barry Grodenchik,Parks & Recreation,Vanderbilt Motor Parkway Resurfacing,,500000,b,,,,500000
New Audio Visual Systems,District 23  Barry Grodenchik,Education,New Audio Visual Systems,,375000,b,,,,375000
New Gym Floor for Martin Van Buren High School,District 23  Barry Grodenchik,Education,New Gym Floor for Martin Van Buren High School,,100000,b,,,,100000
Technology Upgrades for Local Schools,District 23  Barry Grodenchik,Education,Technology Upgrades for Local Schools,,548000,b,,,,548000
Upgrades at Hollis and Queens Village Libraries,District 23  Barry Grodenchik,"Arts, Culture & Community Facilities",Upgrades at Hollis and Queens Village Libraries,,550000,b,,,,550000
Dutch Kills Pedestrian Safety,District 26  Jimmy Van Bramer,Transit,Dutch Kills Pedestrian Safety,,300000,b,,,,300000
BBQ Area Picnic Tables,District 26  Jimmy Van Bramer,Parks & Recreation,BBQ Area Picnic Tables,,300000,b,,,,300000
Hunter's Point South Park Playground Canopy,District 26  Jimmy Van Bramer,Parks & Recreation,Hunter's Point South Park Playground Canopy,,500000,b,,,,500000
Median Tree Planting,District 26  Jimmy Van Bramer,Parks & Recreation,Median Tree Planting,,100000,b,,,,100000
Renovation of Dutch Kills Playground,District 26  Jimmy Van Bramer,Parks & Recreation,Renovation of Dutch Kills Playground,,300000,b,,,,300000
Basketball Court Renovations,District 26  Jimmy Van Bramer,Housing,Basketball Court Renovations,,350000,b,,,,350000
Grounds Renovation for Queensbridge Houses,District 26  Jimmy Van Bramer,Housing,Grounds Renovation for Queensbridge Houses,,300000,b,,,,300000
Grounds Renovation for Woodside Houses,District 26  Jimmy Van Bramer,Housing,Grounds Renovation for Woodside Houses,,300000,b,,,,300000
Grounds Renovations for Ravenswood Houses,District 26  Jimmy Van Bramer,Housing,Grounds Renovations for Ravenswood Houses,,300000,b,,,,300000
Auditorium Repairs for Aviation High School,District 26  Jimmy Van Bramer,Education,Auditorium Repairs for Aviation High School,,450000,b,,,,450000
Auditorium Seating for P.S. 111,District 26  Jimmy Van Bramer,Education,Auditorium Seating for P.S. 111,,100000,b,,,,100000
Auditorium Upgrade for I.S. 204 & Energy Tech H.S.,District 26  Jimmy Van Bramer,Education,Auditorium Upgrade for I.S. 204 & Energy Tech H.S.,,200000,b,,,,200000
Auditorium Upgrade for P.S. 166,District 26  Jimmy Van Bramer,Education,Auditorium Upgrade for P.S. 166,,300000,b,,,,300000
Bathroom Repair,District 26  Jimmy Van Bramer,Education,Bathroom Repair,,50000,b,,,,50000
Playground Upgrade for P.S. 112,District 26  Jimmy Van Bramer,Education,Playground Upgrade for P.S. 112,,500000,b,,,,500000
Queens Atrium Educational Hub - Wi-fi Network,District 26  Jimmy Van Bramer,Education,Queens Atrium Educational Hub - Wi-fi Network,,75000,b,,,,75000
Special Needs Playground for P4 at Skillman,District 26  Jimmy Van Bramer,Education,Special Needs Playground for P4 at Skillman,,250000,b,,,,250000
Split System (AC) for I.S. 204 & Energy Tech H.S.,District 26  Jimmy Van Bramer,Education,Split System (AC) for I.S. 204 & Energy Tech H.S.,,350000,b,,,,350000
Tech Upgrades PS 150 & Academy of American Studies,District 26  Jimmy Van Bramer,Education,Tech Upgrades PS 150 & Academy of American Studies,,210000,b,,,,210000
Broadway Library Security System Upgrade,District 26  Jimmy Van Bramer,"Arts, Culture & Community Facilities",Broadway Library Security System Upgrade,,132000,b,,,,132000
